GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
clinic-service,com.demo.spring.services,DoctorSpecialityService,4,125,1,11,1,20,1,9,0,4
clinic-service,com.demo.spring.services,DiagnosticService,0,125,2,10,0,23,2,9,0,5
clinic-service,com.demo.spring.services,DoctorService,0,7,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.controller,DiagnosticRestController,0,27,0,0,0,5,0,5,0,5
clinic-service,com.demo.spring.controller,DoctorRestController,0,17,0,2,0,5,0,3,0,2
clinic-service,com.demo.spring.controller,DoctorSpecialityRestController,0,31,0,2,0,7,0,5,0,4
clinic-service,com.demo.spring.entity,DoctorSpecialityDTO,0,17,0,0,0,7,0,5,0,5
clinic-service,com.demo.spring.entity,DoctorSpeciality,3,15,0,0,2,6,1,3,1,3
clinic-service,com.demo.spring.entity,PatientDTO,4,42,0,0,2,18,1,9,1,9
clinic-service,com.demo.spring.entity,DiagnosticDTO,0,26,0,0,0,12,0,6,0,6
clinic-service,com.demo.spring.entity,PatientDiagnostic,26,0,0,0,12,0,6,0,6,0
clinic-service,com.demo.spring.entity,Diagnostic,8,18,0,0,4,8,2,4,2,4
clinic-service,com.demo.spring.entity,Doctor,3,27,0,0,2,10,1,5,1,5
clinic-service,com.demo.spring.entity,Speciality,9,0,0,0,3,0,3,0,3,0
clinic-service,com.demo.spring,ClinicServiceApplication,5,27,0,0,2,4,1,3,1,3
clinic-service,com.demo.spring.exceptions,DoctoreSpecialityNotFoundException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.exceptions,PatientNotFoundException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.exceptions,DoctorNotFoundException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.exceptions,DiagnosticTestAlredyExistsException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.exceptions,DiagnosticNotFoundException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.util,Message,0,9,0,0,0,4,0,2,0,2
clinic-service,com.demo.spring.util,ServerConfiguration,0,13,0,0,0,5,0,3,0,3
